skill
python
java
c
c++
javascript
typescript
react
nextjs
nodejs
express
html
css
tailwind
redux
mongodb
mysql
postgresql
sql
firebase
docker
kubernetes
aws
azure
gcp
linux
git
github
jira
figma
rest api
graphql
pandas
numpy
scikit-learn
tensorflow
pytorch
opencv
mediapipe
nlp
transformers
bert
llm
fastapi
flask
django
streamlit
power bi
tableau
excel
data analysis
machine learning
deep learning
computer vision
statistics
data structures
algorithms
system design
